Compound,119_1(raw),119_2(raw),119_3(raw),119_4(raw),119_5(raw),119_6(raw),173_1(raw),173_2(raw),173_3(raw),173_4(raw),173_5(raw),173_6(raw),212_1(raw),212_2(raw),212_3(raw),212_4(raw),212_5(raw),212_6(raw),232_1(raw),232_2(raw),232_3(raw),232_4(raw),232_5(raw),232_6(raw),281_1(raw),281_2(raw),281_3(raw),281_4(raw),281_5(raw),281_6(raw),293_1(raw),293_2(raw),293_3(raw),293_4(raw),293_5(raw),293_6(raw),318_1(raw),318_2(raw),318_3(raw),318_4(raw),318_5(raw),318_6(raw),345_1(raw),345_2(raw),345_3(raw),345_4(raw),345_5(raw),345_6(raw),346_1(raw),346_2(raw),346_3(raw),346_4(raw),346_5(raw),346_6(raw),372_1(raw),372_2(raw),372_3(raw),372_4(raw),372_5(raw),372_6(raw),374_1(raw),374_2(raw),374_3(raw),374_4(raw),374_5(raw),374_6(raw),440_1(raw),440_2(raw),440_3(raw),440_4(raw),440_5(raw),440_6(raw),639_1(raw),639_2(raw),639_3(raw),639_4(raw),639_5(raw),639_6(raw),649_1(raw),649_2(raw),649_3(raw),649_4(raw),649_5(raw),649_6(raw),H37Rv_1(raw),H37Rv_2(raw),H37Rv_3(raw),H37Rv_4(raw),H37Rv_5(raw),H37Rv_6(raw),Mass
220.0884@10.804994,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,2087.262803,2122.587323,0.121212121,1493.667764,1702.054542,2281.599993,0.094214876,0.127823691,0.100826446,0.096418733,0.098071625,0.084297521,0.069421488,0.079889807,0.08815427,0.114600551,0.08815427,0.095316804,0.053443526,0.15261708,0.073829201,0.073278237,0.066115702,0.093663912,0.18677686,0.186225895,0.560330579,0.160330579,0.252892562,0.300826446,0.088705234,982.9944921,0.104132231,0.153719008,0.112947658,0.127272727,2984.917352,0.302479339,0.201652893,2507.927271,0.205509642,0.208815427,0.093112948,0.213774105,0.115151515,0.099724518,1105.90909,0.096969697,0.124517906,0.12892562,0.168044077,0.18677686,0.104683196,0.14600551,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,1360.50248,0.157575758,0.13553719,0.15261708,0.121763085,0.113498623,0.188980716,4626.59284,1938.865008,3963.294772,3062.517898,3476.455655,1814.132785,2286.478781,0.242975207,2884.899168,0.280440771,0.278787879,0.278787879,0.216528926,2537.348756,3396.457853,3007.462254,0.177410468,0.127823691,220.0884
217.1063@10.523991,0.137741047,0.088705234,0.116804408,0.096969697,1193.972451,0.083746556,0.121763085,0.103581267,1264.363634,1067.25344,1510.034157,1495.854541,0.094214876,0.127823691,724.6396674,907.0110213,0.098071625,726.5603335,749.6132274,886.3774087,620.341598,0.114600551,1177.212122,908.3691421,0.053443526,1269.621489,0.073829201,0.073278237,0.066115702,0.093663912,0.18677686,2630.813219,10389.08927,0.160330579,4519.695868,6734.902473,0.088705234,0.131680441,0.104132231,0.153719008,0.112947658,0.127272727,0.20661157,0.302479339,2179.061162,0.244628099,0.205509642,0.208815427,739.6892589,3902.232513,1097.393938,0.099724518,0.123966942,814.8363639,1507.787324,0.12892562,0.168044077,2398.028106,0.104683196,1338.724521,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,1604.751519,1296.277685,1825.14766,0.121763085,1030.567497,2629.099721,5302.5124,2067.371895,4769.366399,2344.298616,3478.180173,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,0.278787879,5128.487612,2779.294762,4226.511297,3146.19724,3179.372997,1667.076578,217.1063
623.3532@9.552992,0.137741047,0.088705234,0.116804408,0.096969697,678.9752062,0.083746556,1159.062806,918.0407694,1075.999998,1351.935533,1558.073275,1651.345449,0.094214876,1176.361428,870.132229,1022.231407,771.7256171,787.7603337,525.7983501,980.4876013,1019.151515,0.114600551,1011.39394,946.0192797,0.053443526,1791.419285,0.073829201,0.073278237,0.066115702,0.093663912,0.18677686,1423.696967,4438.938847,0.160330579,1657.457851,2629.523964,0.088705234,0.131680441,638.9553694,0.153719008,986.5977926,0.127272727,0.20661157,2849.960332,1617.054549,0.244628099,0.205509642,1252.266116,1640.929483,5803.539403,2226.339391,1925.18182,1260.371899,1801.600001,1636.040767,995.3057864,1845.460054,2939.681,953.2451828,1563.427001,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,0.157575758,0.13553719,0.15261708,0.121763085,0.113498623,0.188980716,0.231955923,409.8953156,0.187327824,0.124517906,0.172451791,0.211019284,0.139393939,3181.03141,0.183471074,4150.24297,0.278787879,0.278787879,1607.077689,1566.480438,2255.673831,1995.512944,1375.640769,0.127823691,623.3532
578.3318@7.5419936,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,0.145454545,0.094214876,0.127823691,0.100826446,0.096418733,0.098071625,0.084297521,0.069421488,0.079889807,0.08815427,0.114600551,0.08815427,0.095316804,0.053443526,0.15261708,0.073829201,0.073278237,0.066115702,0.093663912,4378.796706,5139.834702,11159.54381,2550.699181,5874.18843,8168.942141,0.088705234,0.131680441,0.104132231,0.153719008,0.112947658,0.127272727,0.20661157,0.302479339,0.201652893,0.244628099,0.205509642,0.208815427,0.093112948,0.213774105,0.115151515,0.099724518,0.123966942,0.096969697,0.124517906,0.12892562,0.168044077,1401.573557,0.104683196,0.14600551,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,0.157575758,0.13553719,0.15261708,0.121763085,0.113498623,1845.01873,1842.425896,0.077134986,1614.953171,0.124517906,0.172451791,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,0.278787879,3434.798353,2662.262806,4098.067771,3599.658396,2543.53388,1319.651786,578.3318
543.3324@5.596992,13005.92288,9040.748744,15984.21602,9838.060609,2888.369144,0.083746556,9879.734954,5561.278225,13911.39392,8510.509063,13703.94102,3490.763625,4931.960329,0.127823691,8999.466091,0.096418733,4948.007696,8154.099206,2219.196707,3971.561975,9480.991739,9134.580719,5517.575759,6622.420908,376.1889795,20989.12178,4961.02699,2095.977413,402.7107409,9435.421503,35935.12076,28970.41758,151736.9605,34606.39349,50886.28265,54781.69912,3878.281536,10074.34382,7295.816501,10938.33717,5307.749292,15776.85451,54169.83465,54250.87937,35882.11578,20814.42643,47321.88322,52288.427,7768.69259,21423.79948,11890.08483,11435.80938,7559.008255,7027.97576,25325.6969,2761.715706,18237.31954,24136.80006,881.3278271,19300.03035,11128.94878,9193.39943,14317.4479,0.082093664,8985.048509,7451.080994,22512.84855,2583.067767,7042.820391,12604.67103,3821.839132,11727.38731,40930.71022,12996.55093,20444.2094,1225.007159,41384.11855,5933.440228,5031.424228,41914.19511,22776.2826,29972.94872,90797.03037,0.557575758,11228.10746,8340.283183,10571.62149,8098.078222,7631.133871,4578.133317,543.3324
653.346@8.968004,11453.44354,5918.501918,6584.498088,6579.006063,12649.11294,1590.765831,7624.560857,8669.95921,10583.27271,10395.64514,11855.59171,12194.03633,2043.426446,12192.71841,11584.15203,8352.176327,10320.46939,9799.165329,4584.942175,5959.380153,4466.953169,5317.121765,7206.699727,6248.016502,1801.10027,20725.24685,5016.029745,5617.656205,3658.04956,9232.170814,15357.35376,17540.61705,53539.02649,12453.35706,26095.73058,34094.76691,3420.917349,5314.359238,6035.608241,9055.125604,7365.768569,8165.945437,25615.49584,37907.01324,25334.66121,22515.57023,21870.3361,24489.87328,10255.08764,26918.22153,8498.527262,11481.8821,9190.90908,11279.41819,13247.70906,10197.62977,14764.18456,19471.48766,7939.801684,14333.50692,11908.50911,8226.732766,8343.894193,6037.168051,7239.739413,7352.383473,11487.74549,8246.624788,13659.68651,7688.730002,7486.823168,17160.5829,19914.80773,5278.269957,16595.55926,8721.109618,16339.11739,6790.178521,7539.957554,15305.98019,16386.90245,19533.54102,9601.454553,0.836363637,31004.77691,25634.11071,20117.95538,29083.96248,22291.44789,16320.52887,653.346
134.0943@1.361,1181.955924,937.9691443,1214.298626,1033.79394,2305.068869,1259.548202,1044.483743,1183.00165,1387.878785,1077.238013,1645.44187,1748.363631,816.0892559,1807.426991,1157.689253,2284.449041,1374.768039,807.6545487,735.3124009,1389.603303,987.1515155,0.114600551,1282.292011,1284.107983,821.9079864,2165.788982,963.5449023,1137.20496,934.280985,957.8071641,0.18677686,0.186225895,0.560330579,0.160330579,0.252892562,0.300826446,969.2820919,1260.445181,1005.813219,0.153719008,0.112947658,0.127272727,0.20661157,0.302479339,0.201652893,1901.98347,0.205509642,1291.105785,1019.121216,3795.559234,1694.109089,0.099724518,1355.454544,1102.933334,0.124517906,2395.695871,1238.820936,0.18677686,1658.286508,1219.000003,1521.818184,1015.798896,747.5107419,2127.949865,834.0484871,1550.915703,1924.157581,2553.114048,1863.912398,0.121763085,2525.798356,0.188980716,1497.043527,674.0826427,2131.415981,1640.149858,0.172451791,0.211019284,2685.284841,0.242975207,2666.752061,0.280440771,0.278787879,0.278787879,2935.049592,3404.036358,3173.685401,2349.624238,2825.793934,2689.154811,134.0943
297.2673@0.994001,1847.796146,947.3718991,1092.00441,967.6606064,1515.21212,926.0694162,1265.849032,1111.634157,1056.727271,1040.830851,1105.580163,1879.127267,1010.73719,1835.164732,1043.251237,1501.721766,1024.652338,819.8776892,875.7520711,979.4490338,1169.101929,1137.525069,1128.815427,1479.126164,607.6528906,2164.110194,719.0225885,735.566943,845.9504071,965.9559245,1856.561988,2615.356469,5176.894219,1923.004965,3166.214876,2234.538841,1241.873276,1186.045732,1011.644624,1716.8876,1514.741041,1347.054543,1737.809915,3968.226448,2147.804963,2880.251238,1244.155373,2475.298072,1064.374109,4087.360888,1856.933331,932.4242433,961.1157013,1066.084849,1522.85399,1430.687605,1415.099172,2466.201659,1203.228655,1078.396697,1157.709093,935.0303011,826.2413202,1030.685952,743.2060626,940.958678,1451.115155,1427.748759,1771.27383,1412.817075,1444.837471,2757.039666,2408.398349,775.9779592,2809.542704,1509.032503,2251.18568,2685.431408,1597.454541,2467.170252,1784.806608,0.280440771,2544.496972,0.278787879,2703.796699,1978.062807,1930.352067,1806.570796,2010.947655,1263.281538,297.2673
727.4357@2.3450007,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,0.145454545,0.094214876,0.127823691,0.100826446,0.096418733,0.098071625,0.084297521,0.069421488,0.079889807,0.08815427,0.114600551,0.08815427,0.095316804,0.053443526,0.15261708,0.073829201,0.073278237,0.066115702,0.093663912,0.18677686,0.186225895,0.560330579,0.160330579,0.252892562,0.300826446,0.088705234,0.131680441,0.104132231,0.153719008,0.112947658,0.127272727,0.20661157,0.302479339,0.201652893,0.244628099,0.205509642,0.208815427,0.093112948,0.213774105,0.115151515,0.099724518,0.123966942,0.096969697,0.124517906,0.12892562,0.168044077,0.18677686,0.104683196,0.14600551,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,0.157575758,0.13553719,0.15261708,0.121763085,0.113498623,0.188980716,0.231955923,0.077134986,0.187327824,0.124517906,0.172451791,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,0.278787879,0.216528926,0.171349862,0.205509642,0.177410468,0.177410468,0.127823691,727.4357
357.236@2.3300016,2142.424245,1142.523414,1467.180169,1156.751516,1876.115701,1215.497514,1399.17961,1021.518455,1294.060604,1453.729472,1660.411567,1930.181812,1145.558677,1746.966385,1460.168591,1678.071629,1139.494211,1167.689261,1232.647941,1238.371898,1554.953169,1508.372452,1133.663912,1477.601096,705.8286479,2452.556476,972.6997232,755.2787888,890.5785059,1256.688707,2627.576866,3467.526165,7190.72232,2668.221496,3646.963637,3447.170245,1350.271072,1833.781821,1469.201647,2047.998344,1824.330572,1964.963632,2592.148757,4941.000003,3375.06447,4398.168592,2090.855098,3549.235813,1141.192291,4796.022046,2336.309088,1565.774657,1414.958676,1108.945455,1901.886496,2015.880994,1699.093663,3226.196703,1302.154275,1328.35813,1502.449589,1250.19559,1080.05289,1059.090359,1105.236367,922.234711,1676.921217,1889.523966,2143.812123,1997.645173,1479.795047,3098.149858,3496.039671,1077.190079,2976.451796,1497.203302,3181.045737,3073.073833,2047.139388,3419.633063,2412.09421,3091.8595,3174.836366,0.278787879,3695.715709,2269.871622,2515.849037,2290.723963,2697.348755,1390.593934,357.236
