Compound,119_1(raw),119_2(raw),119_3(raw),119_4(raw),119_5(raw),119_6(raw),173_1(raw),173_2(raw),173_3(raw),173_4(raw),173_5(raw),173_6(raw),212_1(raw),212_2(raw),212_3(raw),212_4(raw),212_5(raw),212_6(raw),232_1(raw),232_2(raw),232_3(raw),232_4(raw),232_5(raw),232_6(raw),281_1(raw),281_2(raw),281_3(raw),281_4(raw),281_5(raw),281_6(raw),293_1(raw),293_2(raw),293_3(raw),293_4(raw),293_5(raw),293_6(raw),318_1(raw),318_2(raw),318_3(raw),318_4(raw),318_5(raw),318_6(raw),345_1(raw),345_2(raw),345_3(raw),345_4(raw),345_5(raw),345_6(raw),346_1(raw),346_2(raw),346_3(raw),346_4(raw),346_5(raw),346_6(raw),372_1(raw),372_2(raw),372_3(raw),372_4(raw),372_5(raw),372_6(raw),374_1(raw),374_2(raw),374_3(raw),374_4(raw),374_5(raw),374_6(raw),440_1(raw),440_2(raw),440_3(raw),440_4(raw),440_5(raw),440_6(raw),639_1(raw),639_2(raw),639_3(raw),639_4(raw),639_5(raw),639_6(raw),649_1(raw),649_2(raw),649_3(raw),649_4(raw),649_5(raw),H37Rv_1(raw),H37Rv_2(raw),H37Rv_3(raw),H37Rv_4(raw),H37Rv_5(raw),H37Rv_6(raw),Mass
470.0361@13.147144,137222.7274,87770.99048,116466.0256,98321.84245,115973.3498,73463.56763,119883.9153,92768.52212,122966.3028,120086.6508,134027.6433,135826.9087,95386.72063,119294.0161,103643.7386,98081.85973,90420.37103,86625.39704,68899.02188,76364.58938,90512.13226,142208.0529,76385.67496,97436.84035,52429.75576,151993.6392,73558.69081,65916.85187,64591.07391,96452.84864,192713.5625,200130.079,637091.3857,193317.1527,283384.8298,299464.3039,84100.27919,140222.0245,104229.6988,156086.2807,104994.3357,137738.3633,295596.9005,365522.3853,237266.4071,337615.6427,243116.6734,282242.6573,90226.07416,203735.4868,111150.6908,102027.6557,137914.8345,91746.42427,146237.8134,135185.9903,177858.5233,198573.8733,109671.2456,153252.3475,110509.825,81090.47091,103944.6477,73977.06344,84604.70932,104653.7521,160279.6004,116653.3355,132695.8199,121184.8321,96797.98162,170082.4554,269006.2426,83025.55348,194601.0141,109396.2025,206705.028,203488.0058,139636.9026,291053.4401,196483.026,312734.928,369338.7397,252021.4547,200296.402,150309.9838,177316.1852,167395.4697,160277.7617,470.0361
597.3024@12.328146,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,0.145454545,0.094214876,0.127823691,0.100826446,0.096418733,0.098071625,0.084297521,0.069421488,0.079889807,2066.600552,6518.823143,0.08815427,0.095316804,0.053443526,0.15261708,0.073829201,0.073278237,0.066115702,0.093663912,0.18677686,0.186225895,0.560330579,0.160330579,0.252892562,0.300826446,0.088705234,0.131680441,0.104132231,3421.016523,0.112947658,2257.690904,10298.14048,0.302479339,2992.730585,4141.798344,3732.260608,6637.407163,0.093112948,0.213774105,0.115151515,0.099724518,0.123966942,0.096969697,0.124517906,0.12892562,0.168044077,0.18677686,0.104683196,0.14600551,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,0.157575758,0.13553719,0.15261708,0.121763085,0.113498623,0.188980716,0.231955923,0.077134986,0.187327824,0.124517906,0.172451791,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,13762.08486,0.278787879,0.216528926,0.171349862,0.205509642,0.177410468,0.177410468,597.3024
244.0696@1.6840036,0.137741047,0.088705234,0.116804408,0.096969697,1529.278236,1162.150958,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,4999.85453,7073.370245,3241.608804,0.100826446,2712.162541,737.9889781,972.7090948,2676.267784,666.2809904,0.08815427,1226.340496,881.7190085,0.095316804,711.0661134,0.15261708,968.5652879,0.073278237,3064.132209,0.093663912,0.18677686,0.186225895,0.560330579,0.160330579,0.252892562,0.300826446,0.088705234,3680.863367,0.104132231,0.153719008,0.112947658,0.127272727,4640.702474,0.302479339,0.201652893,5308.674376,0.205509642,0.208815427,0.093112948,0.213774105,0.115151515,0.099724518,7023.719,0.096969697,0.124517906,2483.107441,0.168044077,0.18677686,4017.636379,994.8815451,0.102479339,0.079889807,0.085950413,1188.141599,0.078787879,2930.35372,0.157575758,5834.469418,0.15261708,0.121763085,0.113498623,0.188980716,0.231955923,0.077134986,0.187327824,2294.989525,0.172451791,6569.663369,1790.65454,0.242975207,0.183471074,0.280440771,0.278787879,0.278787879,0.216528926,1128.338841,1328.003307,0.177410468,0.177410468,244.0696
334.1374@2.5310094,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,0.145454545,0.094214876,0.127823691,0.100826446,0.096418733,0.098071625,0.084297521,4587.51077,3882.8044,3811.261709,3213.857852,4887.272729,4237.689789,915.647931,4144.16419,1068.087051,1662.97631,2931.834689,1910.556477,0.18677686,0.186225895,0.560330579,0.160330579,0.252892562,0.300826446,0.088705234,0.131680441,0.104132231,0.153719008,0.112947658,0.127272727,0.20661157,0.302479339,0.201652893,0.244628099,0.205509642,0.208815427,2426.709651,7067.585685,3183.478784,2317.896972,3293.429748,2918.206062,3761.187869,9333.441334,6099.831951,8484.525642,6258.589556,5055.294778,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,0.157575758,0.13553719,0.15261708,0.121763085,0.113498623,0.188980716,0.231955923,0.077134986,0.187327824,0.124517906,0.172451791,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,0.278787879,0.216528926,0.171349862,0.205509642,0.177410468,0.177410468,334.1374
230.1266@1.929006,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,0.145454545,0.094214876,1167.797241,684.6115683,0.096418733,0.098071625,0.084297521,2737.150429,2527.473824,2621.70799,0.114600551,4869.641875,3919.998881,0.053443526,0.15261708,0.073829201,0.073278237,0.066115702,0.093663912,1657.644633,0.186225895,8508.619842,1755.138848,4106.722314,5393.216524,2274.224789,0.131680441,1563.12892,2825.201648,2470.842966,1645.63636,0.20661157,0.302479339,0.201652893,0.244628099,0.205509642,0.208815427,0.093112948,1830.120113,0.115151515,0.099724518,0.123966942,0.096969697,2799.660599,4238.558683,5931.61983,7723.970268,4294.000017,4962.435274,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,6702.169715,3884.631403,6839.992291,5381.441305,8409.453474,10867.90302,0.231955923,0.077134986,0.187327824,0.124517906,0.172451791,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,0.278787879,0.216528926,0.171349862,0.205509642,0.177410468,0.177410468,230.1266
506.2581@9.025095,1347.520663,0.088705234,0.116804408,0.096969697,2679.278235,0.083746556,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,0.145454545,0.094214876,0.127823691,1427.601649,0.096418733,0.098071625,0.084297521,0.069421488,797.6997229,1077.245179,0.114600551,2111.559229,0.095316804,0.053443526,4414.90689,0.073829201,0.073278237,0.066115702,0.093663912,0.18677686,4220.251232,15354.73886,0.160330579,6935.831405,15672.15536,0.088705234,0.131680441,0.104132231,1344.426444,0.112947658,0.127272727,0.20661157,4567.740498,3342.195049,0.244628099,0.205509642,0.208815427,1634.597802,13530.40443,3042.303026,1884.494217,0.123966942,2177.260607,4109.464452,0.12892562,4995.614321,9359.201678,0.104683196,2801.115709,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,0.157575758,0.13553719,0.15261708,0.121763085,0.113498623,0.188980716,2106.391737,1194.743798,2110.997249,0.124517906,1394.445182,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,2800.424245,0.216528926,2635.018178,2501.668872,0.177410468,0.177410468,506.2581
464.1376@1.7840027,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,1453.485946,1812.879335,0.121212121,1291.41928,1414.772449,1695.709086,0.094214876,0.127823691,0.100826446,0.096418733,1118.703026,0.084297521,0.069421488,0.079889807,0.08815427,0.114600551,0.08815427,0.095316804,0.053443526,0.15261708,0.073829201,0.073278237,0.066115702,0.093663912,2759.628107,5966.677676,6415.224799,0.160330579,6014.543802,12471.36197,3571.006605,0.131680441,2791.472716,3357.069416,7543.322287,2372.363631,0.20661157,0.302479339,0.201652893,0.244628099,0.205509642,0.208815427,0.093112948,0.213774105,0.115151515,0.099724518,0.123966942,0.096969697,0.124517906,0.12892562,0.168044077,0.18677686,0.104683196,0.14600551,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,1578.278792,0.13553719,5504.13499,0.121763085,3836.707452,6807.841313,0.231955923,0.077134986,2249.057855,2920.816521,0.172451791,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,10423.04243,9475.305802,7760.9493,11539.3664,4821.306878,6658.214864,464.1376
280.1049@8.753078,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,0.145454545,0.094214876,0.127823691,0.100826446,0.096418733,0.098071625,0.084297521,0.069421488,0.079889807,0.08815427,0.114600551,0.08815427,0.095316804,0.053443526,0.15261708,0.073829201,0.073278237,0.066115702,0.093663912,0.18677686,0.186225895,0.560330579,0.160330579,0.252892562,0.300826446,0.088705234,0.131680441,0.104132231,0.153719008,0.112947658,0.127272727,0.20661157,0.302479339,0.201652893,0.244628099,0.205509642,0.208815427,0.093112948,0.213774105,0.115151515,0.099724518,0.123966942,0.096969697,0.124517906,0.12892562,0.168044077,0.18677686,0.104683196,0.14600551,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,0.157575758,0.13553719,0.15261708,0.121763085,0.113498623,0.188980716,3627.094768,1498.655643,2598.424247,2287.393933,0.172451791,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,12451.78183,10818.86779,11166.69916,12951.83417,5851.884287,5754.131119,280.1049
173.0324@7.2810645,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,0.145454545,0.094214876,0.127823691,0.100826446,0.096418733,0.098071625,0.084297521,0.069421488,0.079889807,0.08815427,0.114600551,0.08815427,0.095316804,0.053443526,0.15261708,0.073829201,0.073278237,0.066115702,0.093663912,0.18677686,0.186225895,0.560330579,0.160330579,0.252892562,0.300826446,0.088705234,0.131680441,0.104132231,0.153719008,0.112947658,0.127272727,0.20661157,0.302479339,0.201652893,0.244628099,0.205509642,0.208815427,0.093112948,0.213774105,0.115151515,0.099724518,0.123966942,0.096969697,0.124517906,0.12892562,0.168044077,0.18677686,0.104683196,0.14600551,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,0.157575758,0.13553719,0.15261708,0.121763085,0.113498623,3887.144347,0.231955923,0.077134986,0.187327824,0.124517906,0.172451791,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,15122.8485,10016.62812,12711.41816,12256.18403,7179.624229,5976.781256,173.0324
453.2852@3.0080104,0.137741047,0.088705234,0.116804408,0.096969697,0.126721763,0.083746556,0.121763085,0.103581267,0.121212121,0.121763085,0.136088154,0.145454545,1000.656198,0.127823691,1455.530574,0.096418733,0.098071625,763.9041353,889.2892613,3040.606054,2939.504133,1095.695868,3056.925621,2583.752606,0.053443526,2336.567495,784.952065,1281.563087,0.066115702,1402.242427,0.18677686,0.186225895,0.560330579,0.160330579,0.252892562,0.300826446,0.088705234,0.131680441,0.104132231,0.153719008,0.112947658,0.127272727,13376.03304,7999.06612,5552.109103,0.244628099,4134.031958,3396.38292,1574.539951,2823.955927,2375.575754,2147.467771,0.123966942,2470.49697,1670.158673,0.12892562,2718.785122,2873.188437,0.104683196,2183.220391,0.102479339,0.079889807,0.085950413,0.082093664,0.078787879,0.105785124,2579.83031,0.13553719,2666.983473,1774.94049,1421.456754,4280.413217,0.231955923,0.077134986,0.187327824,0.124517906,0.172451791,0.211019284,0.139393939,0.242975207,0.183471074,0.280440771,0.278787879,5220.86061,0.216528926,1379.366389,1879.385676,1672.803303,0.177410468,453.2852
